取得日時,取得URL,名称,住所,TEL,設立,資本金,年商,部署,従業員,事業
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/rezildenryoku,レジル株式会社（Rezil Inc.）,東京都千代田区丸の内1-8-1 丸の内トラストタワーN館14階,,1994年11月21日,3.5億円（2024年5月27日時点）,387億円（2024年6月期）,グリーンエネルギー事業本部,209名（2024年2月末時点）,分散型エネルギー事業 グリーンエネルギー事業 エネルギーDX事業
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/octopusenergyco,TGオクトパスエナジー株式会社,東京都港区六本木1-4-5 アークヒルズサウスタワー18階,,2021年1月,7億円,,,107名（2024年10月現在）,小売電気事業
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/nwnorox2,株式会社オーシャン（モバイルコムグループ）,東京都千代田区神田駿河台4-4-1 PMO御茶ノ水 愛媛工場：愛媛県松山市中西外1035-1,,2017年2月,"1,000万円",,法人営業部,459名（2022年4月グループ連結）,弱酸性次亜塩素酸水ノロックスの製造・販売
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/songaihokensindanshikyoukai,損害保険診断士協会,福岡県福岡市博多区博多駅前1-23-2 ParkFront博多駅前1丁目5F-B,,,,,保険申請コンサルティング事業部,,火災保険の申請のサポート業務 火災保険申請に必要な書類等の作成
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/placetosup,プレイス株式会社,東京都港区南青山3-1-36 青山丸竹ビル6F,,2023年6月27日,,,トスアップパートナー事業部,,代理店構築及び、事業支援サービスの提供
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/zepecyzen,株式会社ZEPE（ゼペ）,東京都千代田区神田小川町2-2 センタークレストビル7F,,2008年11月17日,"2,000万円",,パートナー事業部,127名※その他従事者217名（令和5年10月1日現在）,アウトソーシング事業 電気通信事業 ソリューション事業 スポーツ事業 エコロジー推進事業 不動産事業
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/myuuutantstudy,MYUUU FZCO（ミュー）,"ドバイ（Building A2, IFZA, Dubai Digital Park – Dubai Silicon Oasis – Dubai）",,2023年2月,,,,20名,主要投資家：上場企業（日本）の経営者を中心とした十数名 生成AI研修事業 AXコンサルティング事業 AX人材支援事業 AIクローン事業 AIメディア事業 Web3メディア事業
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/zepezitakuhomert,株式会社ZEPE（ゼペ）,東京都千代田区神田小川町2-2 センタークレストビル7F,,2008年11月17日,"2,000万円",,パートナー事業部,127名※その他従事者217名（令和5年10月1日現在）,アウトソーシング事業 電気通信事業 ソリューション事業 スポーツ事業 エコロジー推進事業 不動産事業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/aorinobiz,スマートモバイルコミュニケーションズ株式会社,東京都新宿区西早稲田2-20-9 小杉ビル西早稲田,,2007年2月13日,51百万円（2023年12月末現在）グループ資本金,"3,758百万円（2023年12月末現在）連結",ソリューション営業部,,MVNO事業 電気通信事業法に定める電気通信事業 情報処理サービス業ならびに情報提供サービス業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/bengoshihokenbn,株式会社アシロ少額短期保険,東京都新宿区西新宿6-3-1 新宿アイランドウイング4F,,2017年12月25日,608百万円（2024年4月末現在）グループ合計,,営業推進部,128名（2024年4月末現在）グループ合計,保険事業 リーガルメディア事業 派生メディア事業 HR事業
